Product,Production (Mn.Kg/Nuts),Exports (US Mn),Month,Year
Rubber,6.8,2.7,January,2020
Coconut,234.2,24.6,January,2020
Tea,18.2,107.8,February,2020
Rubber,6.6,3.1,February,2020
Coconut,226.9,26.2,February,2020
Tea,13.5,62.5,March,2020
Rubber,6.2,1.4,March,2020
Coconut,209.5,19.7,March,2020
Tea,20.8,78.4,April,2020
Rubber,5.7,1.6,April,2020
Coconut,205,14.3,April,2020
Tea,28.6,108.3,May,2020
Rubber,6.1,1.8,May,2020
Coconut,227.8,27.9,May,2020
Tea,27.4,114.9,June,2020
Rubber,6.1,2.9,June,2020
Coconut,246.1,34.2,June,2020
Tea,26.5,130.9,July,2020
Rubber,6.4,2.9,July,2020
Coconut,254.1,40.8,July,2020
Tea,22.5,103,August,2020
Rubber,6.2,1.5,August,2020
Coconut,244.6,33.9,August,2020
Tea,22,114,September,2020
Rubber,6.7,2.1,September,2020
Coconut,249.7,35.8,September,2020
Tea,23.8,112.2,October,2020
Rubber,6.8,2.4,October,2020
Coconut,236.1,32.5,October,2020
Tea,24.9,96.2,November,2020
Rubber,7.1,3.2,November,2020
Coconut,227.5,28.6,November,2020
Tea,28.7,113,December,2020
Rubber,7.4,4.6,December,2020
Coconut,228.6,26.8,December,2020
Tea,23,101,January,2021
Rubber,7.7,3.9,January,2021
Coconut,229.7,24.2,January,2021
Tea,22.4,112.5,February,2021
Rubber,7,2.7,February,2021
Coconut,227.5,30.9,February,2021
Tea,28.4,124.6,March,2021
Rubber,7.6,5.5,March,2021
Coconut,263.3,41.2,March,2021
Tea,29.6,79.3,April,2021
Rubber,7.1,3.2,April,2021
Coconut,240.6,27.3,April,2021
Tea,30.4,109.2,May,2021
Rubber,6.5,2.3,May,2021
Coconut,262.7,34,May,2021
Tea,25.9,123.9,June,2021
Rubber,7.2,2.6,June,2021
Coconut,275.2,38.6,June,2021
Tea,26.2,115.1,July,2021
Rubber,6.7,3.3,July,2021
Coconut,271.4,40.6,July,2021
Tea,23.7,116.8,August,2021
Rubber,6.1,3.7,August,2021
Coconut,271.9,40.1,August,2021
Tea,22.6,104.1,September,2021
Rubber,5.1,5.2,September,2021
Coconut,270,35.8,September,2021
Tea,24,109.5,October,2021
Rubber,5,3.2,October,2021
Coconut,272,40.3,October,2021
Tea,20,117.6,November,2021
Rubber,5.1,3.3,November,2021
Coconut,275.7,40.8,November,2021
Tea,20.4,110.6,December,2021
Rubber,5.4,3.2,December,2021
Coconut,263.1,31.4,December,2021
Tea,22.9,91.2,January,2022
Rubber,7,5.1,January,2022
Coconut,259.8,33.3,January,2022
Tea,18.2,100.9,February,2022
Rubber,5.9,4.9,February,2022
Coconut,281.5,34.7,February,2022
Tea,22.2,94.7,March,2022
Rubber,6.2,4.7,March,2022
Coconut,296.1,36.7,March,2022
Tea,23.2,80.4,April,2022
Rubber,6.4,3.1,April,2022
Coconut,285.2,34,April,2022
Tea,26.4,93.7,May,2022
Rubber,5.9,2.7,May,2022
Coconut,280,36.5,May,2022
Tea,20.3,116.5,June,2022
Rubber,5.2,2.8,June,2022
Coconut,303.5,40.5,June,2022
Tea,19.9,117.5,July,2022
Rubber,5.3,2.9,July,2022
Coconut,282.3,33.1,July,2022
Tea,18.3,124.4,August,2022
Rubber,6.5,3.2,August,2022
Coconut,296.4,35.5,August,2022
Tea,21.2,117.8,September,2022
Rubber,5.6,3.3,September,2022
Coconut,285.1,29.7,September,2022
Tea,19,108.7,October,2022
Rubber,5.2,3.4,October,2022
Coconut,280.3,37.9,October,2022
Tea,20.4,105.7,November,2022
Rubber,5,2,November,2022
Coconut,265.1,23.6,November,2022
Tea,19.7,107.3,December,2022
Rubber,6.7,3.2,December,2022
Coconut,271.3,24.8,December,2022
Tea,19.1,99.6,January,2023
Rubber,6.5,3.2,January,2023
Coconut,256.8,22,January,2023
Tea,18.7,104.6,February,2023
Rubber,5.7,3.9,February,2023
Coconut,259.1,25,February,2023
Tea,21.3,110.1,March,2023
Rubber,6.5,3.7,March,2023
Coconut,274.4,28.8,March,2023
Tea,25.1,93.4,April,2023
Rubber,6.3,2.2,April,2023
Coconut,255.2,25.4,April,2023
Tea,26.5,116.3,May,2023
Rubber,6,2.5,May,2023
Coconut,269.4,31.4,May,2023
Tea,23,111.5,June,2023
Rubber,6.1,1.8,June,2023
Coconut,257.1,28.5,June,2023
Tea,21.4,115.2,July,2023
Rubber,6.2,2,July,2023
Coconut,265,31.2,July,2023
Tea,18.3,119.6,August,2023
Rubber,6,2,August,2023
Coconut,275.9,31.8,August,2023
Tea,18.7,120,September,2023
Rubber,4.5,2.3,September,2023
Coconut,268.2,32.4,September,2023
Tea,22.9,95.6,October,2023
Rubber,3.7,1.5,October,2023
Coconut,268.1,28.5,October,2023
Tea,19.6,112.8,November,2023
Rubber,3.5,1.5,November,2023
Coconut,264.8,28.7,November,2023
Tea,19.8,111.1,December,2023
Rubber,3.4,1.5,December,2023
Coconut,254.1,23.2,December,2023
Tea,18.7,102.2,January,2024
Rubber,5.6,1.7,January,2024
Coconut,245.6,24.8,January,2024
Tea,20,127.7,February,2024
Rubber,4.5,2.3,February,2024
